dbn,district,name,telephone,address,Postcode,Borough,url,Latitude,Longitude,2016_student_count,2016_testers_count,2016_offers_count,2017_student_count,2017_testers_count,2017_offers_count,2018_student_count,2018_testers_count,2018_offers_count,2019_student_count,2019_testers_count,2019_offers_count,2020_student_count,2020_testers_count,2020_offers_count,2021_student_count,2021_testers_count,2021_offers_count
02M114,2.0,East Side Middle School,212-360-0114,"331 East 91St Street, New York, NY 10128",10128.0,Manhattan,https://www.myschools.nyc/en/schools/middle-school/8943,40.780706,-73.948553,97.0,97.0,63.0,146.0,102.0,59.0,152.0,124.0,75.0,154.0,115.0,67.0,154.0,114.0,63.0,137.0,115.0,73.0
02M126,2.0,Manhattan Academy of Technology/Jacob Riis,212-962-2188,"80 Catherine Street, New York, NY 10038",10038.0,Manhattan,https://www.myschools.nyc/en/schools/middle-school/8949,40.710729,-73.996631,76.0,76.0,29.0,110.0,66.0,16.0,112.0,66.0,18.0,109.0,66.0,20.0,113.0,70.0,25.0,110.0,65.0,15.0
02M131,2.0,Sun Yat Sen Middle School,212-219-1204,"100 Hester Street, New York, NY 10002",10002.0,Manhattan,https://www.myschools.nyc/en/schools/middle-school/8955,40.716553,-73.993092,57.0,57.0,12.0,169.0,61.0,17.0,138.0,54.0,7.0,170.0,75.0,7.0,144.0,74.0,6.0,110.0,40.0,0.0
02M167,2.0,J.H.S. 167 Robert F. Wagner,212-535-8610,"220 East  76 Street, New York, NY 10021",10021.0,Manhattan,https://www.myschools.nyc/en/schools/middle-school/8964,40.77205,-73.958066,283.0,283.0,78.0,437.0,228.0,68.0,430.0,258.0,77.0,471.0,269.0,75.0,454.0,266.0,73.0,420.0,227.0,73.0
02M177,2.0,Yorkville East Middle School,917-432-5413,"1458 York Avenue, New York, NY 10075",10075.0,Manhattan,https://www.myschools.nyc/en/schools/middle-school/8965,40.770419,-73.951135,0.0,0.0,0.0,49.0,29.0,7.0,82.0,42.0,0.0,76.0,28.0,7.0,76.0,29.0,0.0,73.0,37.0,0.0
02M217,2.0,P.S./I.S. 217 Roosevelt Island,212-980-0294,"645 Main Street, New York, NY 10044",10044.0,Manhattan,https://www.myschools.nyc/en/schools/middle-school/8973,40.763894,-73.947916,0.0,0.0,0.0,18.0,0.0,0.0,21.0,6.0,0.0,29.0,11.0,0.0,31.0,9.0,0.0,26.0,9.0,0.0
02M225,2.0,Ella Baker School,212-717-8809,"317 East  67 Street, New York, NY 10065",10065.0,Manhattan,https://www.myschools.nyc/en/schools/middle-school/8977,40.765359,-73.960059,9.0,9.0,0.0,22.0,0.0,0.0,21.0,0.0,0.0,25.0,0.0,0.0,11.0,0.0,0.0,28.0,0.0,0.0
02M255,2.0,M.S. 255 Salk School of Science,212-614-8785,"320 East 20Th Street, New York, NY 10003",10003.0,Manhattan,https://www.myschools.nyc/en/schools/middle-school/8981,40.735751,-73.981655,105.0,105.0,62.0,126.0,110.0,65.0,131.0,108.0,70.0,132.0,105.0,64.0,132.0,101.0,61.0,125.0,104.0,72.0
02M260,2.0,The Clinton School,212-524-4360,"10 East 15Th Street, New York, NY 10003",10003.0,Manhattan,https://www.myschools.nyc/en/schools/middle-school/8983,40.736518,-73.992725,21.0,21.0,0.0,93.0,21.0,11.0,96.0,36.0,17.0,98.0,25.0,0.0,97.0,37.0,11.0,94.0,46.0,22.0
02M276,2.0,Battery Park City School,212-266-5800,"55 Battery Place, New York, NY 10280",10280.0,Manhattan,https://www.myschools.nyc/en/schools/middle-school/8985,40.70644,-74.017818,40.0,40.0,13.0,94.0,54.0,20.0,84.0,56.0,22.0,94.0,56.0,20.0,98.0,52.0,16.0,85.0,52.0,18.0
02M289,2.0,Hudson River Middle School,212-571-9268,"201 Warren Street, New York, NY 10282",10282.0,Manhattan,https://www.myschools.nyc/en/schools/middle-school/8993,40.716668,-74.013542,53.0,53.0,11.0,94.0,50.0,0.0,91.0,47.0,0.0,93.0,45.0,8.0,98.0,53.0,6.0,89.0,45.0,6.0
02M297,2.0,M.S. 297 (75 Morton),212-295-7555,"75 Morton Street, New York, NY 10014",10014.0,Manhattan,https://www.myschools.nyc/en/schools/middle-school/8998,40.730999,-74.007191,,,,,,,,,,,,,236.0,75.0,6.0,297.0,99.0,28.0
02M312,2.0,New York City Lab Middle School for Collaborative Studies,212-691-6119,"333 West  17 Street, New York, NY 10011",10011.0,Manhattan,https://www.myschools.nyc/en/schools/middle-school/9004,40.742129,-74.002198,162.0,162.0,108.0,174.0,150.0,112.0,181.0,163.0,113.0,186.0,168.0,124.0,186.0,163.0,113.0,179.0,169.0,117.0
02M347,2.0,The 47 American Sign Language & English Lower School,917-326-6609,"223 East 23 Street, New York, NY 10010",10010.0,Manhattan,https://www.myschools.nyc/en/schools/middle-school/9010,40.738548,-73.982455,0.0,0.0,0.0,7.0,0.0,0.0,9.0,0.0,0.0,22.0,0.0,0.0,12.0,0.0,0.0,15.0,6.0,0.0
02M397,2.0,Spruce Street School,212-266-4800,"12 Spruce Street, New York, NY 10038",10038.0,Manhattan,https://www.myschools.nyc/en/schools/middle-school/9017,40.711132,-74.005277,0.0,0.0,0.0,,0.0,0.0,56.0,36.0,10.0,62.0,29.0,9.0,65.0,27.0,0.0,54.0,30.0,9.0
02M407,2.0,Institute for Collaborative Education,212-475-7972,"345 East  15Th Street, New York, NY 10003",10003.0,Manhattan,https://www.myschools.nyc/en/schools/middle-school/9022,40.732447,-73.983031,22.0,22.0,0.0,70.0,11.0,0.0,75.0,21.0,8.0,72.0,13.0,0.0,75.0,7.0,0.0,71.0,17.0,0.0
02M408,2.0,Professional Performing Arts School,212-247-8652,"328 West  48 Street, New York, NY 10036",10036.0,Manhattan,https://www.myschools.nyc/en/schools/middle-school/9025,40.761448,-73.988019,0.0,0.0,0.0,30.0,10.0,0.0,33.0,9.0,0.0,36.0,8.0,0.0,56.0,14.0,0.0,31.0,0.0,0.0
02M413,2.0,School of the Future Middle and High School,212-475-8086,"127 East  22 Street, New York, NY 10010",10010.0,Manhattan,https://www.myschools.nyc/en/schools/middle-school/9029,40.738952,-73.985479,49.0,49.0,14.0,89.0,30.0,6.0,103.0,46.0,15.0,108.0,46.0,10.0,96.0,23.0,6.0,93.0,32.0,0.0
02M422,2.0,Quest to Learn,212-488-3645,"351 West  18 Street, New York, NY 10011",10011.0,Manhattan,https://www.myschools.nyc/en/schools/middle-school/9036,40.742867,-74.002136,51.0,51.0,17.0,89.0,35.0,7.0,96.0,33.0,0.0,76.0,26.0,0.0,58.0,13.0,0.0,46.0,7.0,0.0
02M442,2.0,"Ballet Tech, NYC Public School for Dance",212-254-1803,"890 Broadway, New York, NY 10003",10003.0,Manhattan,https://www.myschools.nyc/en/schools/middle-school/9043,40.738604,-73.989911,13.0,13.0,0.0,19.0,10.0,0.0,25.0,15.0,0.0,22.0,12.0,0.0,20.0,11.0,0.0,25.0,17.0,0.0
02M896,2.0,Lower Manhattan Community Middle School,646-826-8100,"26 Broadway, New York, NY 10004",10004.0,Manhattan,https://www.myschools.nyc/en/schools/middle-school/9069,40.70568,-74.013302,66.0,66.0,13.0,126.0,73.0,13.0,129.0,70.0,8.0,125.0,63.0,7.0,124.0,49.0,0.0,123.0,59.0,7.0
02M933,2.0,City Knoll Middle School,212-695-9115,"425 West 33Rd Street, New York, NY 10001",10001.0,Manhattan,https://www.myschools.nyc/en/schools/middle-school/9070,40.753091,-73.99764,0.0,0.0,0.0,91.0,23.0,0.0,78.0,17.0,0.0,85.0,24.0,0.0,60.0,10.0,0.0,41.0,0.0,0.0
03M054,3.0,J.H.S. 054 Booker T. Washington,212-678-2861,"103 West 107 Street, New York, NY 10025",10025.0,Manhattan,https://www.myschools.nyc/en/schools/middle-school/9129,40.800119,-73.962837,243.0,243.0,156.0,251.0,228.0,137.0,286.0,257.0,150.0,302.0,256.0,157.0,257.0,206.0,102.0,262.0,219.0,126.0
03M076,3.0,P.S. 076 A. Philip Randolph,212-678-2865,"220 West 121 Street, New York, NY 10027",10027.0,Manhattan,https://www.myschools.nyc/en/schools/middle-school/9131,40.806768,-73.951061,14.0,14.0,0.0,49.0,15.0,0.0,59.0,0.0,0.0,63.0,0.0,0.0,59.0,0.0,0.0,42.0,10.0,0.0
03M149,3.0,P.S. 149 Sojourner Truth,646-672-9020,"41 West 117 Street, New York, NY 10026",10026.0,Manhattan,https://www.myschools.nyc/en/schools/middle-school/9142,40.802136,-73.947828,0.0,0.0,0.0,27.0,0.0,0.0,27.0,0.0,0.0,29.0,0.0,0.0,27.0,0.0,0.0,29.0,0.0,0.0
03M180,3.0,P.S. 180 Hugo Newman,212-678-2849,"370 West 120Th Street, New York, NY 10027",10027.0,Manhattan,https://www.myschools.nyc/en/schools/middle-school/9151,40.807843,-73.955569,25.0,25.0,0.0,63.0,24.0,0.0,60.0,22.0,0.0,60.0,11.0,0.0,51.0,0.0,0.0,49.0,10.0,0.0
03M191,3.0,The Riverside School for Makers and Artists,347-478-5228,"300 West 61St Street, New York, NY 10023",10023.0,Manhattan,https://www.myschools.nyc/en/schools/middle-school/9156,40.772883,-73.989609,0.0,0.0,0.0,49.0,6.0,0.0,35.0,6.0,0.0,60.0,0.0,0.0,56.0,14.0,0.0,68.0,10.0,0.0
03M243,3.0,M.S. 243 Center School,212-799-1477,"100 West  84 Street, New York, NY 10024",10024.0,Manhattan,https://www.myschools.nyc/en/schools/middle-school/9163,40.785287,-73.97343,42.0,42.0,20.0,58.0,48.0,20.0,57.0,38.0,14.0,55.0,40.0,12.0,60.0,41.0,12.0,59.0,32.0,14.0
03M245,3.0,M.S. M245 The Computer School,917-441-0873,"100 West  77 Street, New York, NY 10024",10024.0,Manhattan,https://www.myschools.nyc/en/schools/middle-school/9164,40.780822,-73.976855,69.0,69.0,19.0,130.0,57.0,17.0,133.0,70.0,19.0,134.0,64.0,12.0,139.0,65.0,17.0,123.0,62.0,14.0
03M247,3.0,M.S. M247 Dual Language Middle School,212-496-1050,"100 West  77 Street, New York, NY 10024",10024.0,Manhattan,https://www.myschools.nyc/en/schools/middle-school/9165,40.780822,-73.976855,19.0,19.0,0.0,71.0,8.0,0.0,64.0,12.0,0.0,84.0,20.0,0.0,71.0,13.0,0.0,74.0,20.0,0.0
03M250,3.0,M.S. 250 West Side Collaborative Middle School,212-866-6313,"735 West End Avenue, New York, NY 10025",10025.0,Manhattan,https://www.myschools.nyc/en/schools/middle-school/9166,40.795157,-73.973292,6.0,6.0,0.0,60.0,8.0,0.0,60.0,0.0,0.0,60.0,9.0,0.0,56.0,6.0,0.0,49.0,8.0,0.0
03M256,3.0,Lafayette Academy,212-222-2857,"154 West  93 Street, New York, NY 10025",10025.0,Manhattan,https://www.myschools.nyc/en/schools/middle-school/9167,40.791709,-73.970802,11.0,11.0,0.0,56.0,10.0,0.0,48.0,11.0,0.0,56.0,17.0,0.0,40.0,18.0,0.0,49.0,14.0,0.0
03M258,3.0,Community Action School - MS 258,212-678-5888,"154 West  93 Street, New York, NY 10025",10025.0,Manhattan,https://www.myschools.nyc/en/schools/middle-school/9168,40.791709,-73.970802,19.0,19.0,0.0,84.0,25.0,0.0,59.0,11.0,0.0,83.0,15.0,0.0,74.0,14.0,0.0,83.0,9.0,0.0
03M291,3.0,West End Secondary School,212-245-1506,"227-243 West 61St Street, New York, NY 10023",10023.0,Manhattan,https://www.myschools.nyc/en/schools/middle-school/9170,40.772007,-73.987479,0.0,0.0,0.0,,0.0,0.0,133.0,31.0,6.0,100.0,33.0,6.0,108.0,55.0,19.0,105.0,29.0,12.0
03M333,3.0,P.S. 333 Manhattan School for Children,212-222-1450,"154 West  93 Street, New York, NY 10025",10025.0,Manhattan,https://www.myschools.nyc/en/schools/middle-school/9173,40.791709,-73.970802,30.0,30.0,11.0,51.0,19.0,0.0,50.0,15.0,0.0,64.0,19.0,6.0,63.0,18.0,0.0,58.0,21.0,0.0
03M334,3.0,The Anderson School,212-595-7193,"100 West  77 Street, New York, NY 10024",10024.0,Manhattan,https://www.myschools.nyc/en/schools/middle-school/9175,40.780822,-73.976855,61.0,61.0,54.0,74.0,67.0,51.0,76.0,75.0,58.0,63.0,61.0,43.0,61.0,55.0,33.0,60.0,55.0,45.0
03M415,3.0,Wadleigh Secondary School for the Performing & Visual Arts,212-749-5800,"215 West 114 Street, New York, NY 10026",10026.0,Manhattan,https://www.myschools.nyc/en/schools/middle-school/9180,40.802207,-73.954142,0.0,0.0,0.0,12.0,0.0,0.0,16.0,0.0,0.0,22.0,0.0,0.0,35.0,0.0,0.0,25.0,0.0,0.0
03M421,3.0,West Prep Academy,212-280-8502,"150 West 105 Street, New York, NY 10025",10025.0,Manhattan,https://www.myschools.nyc/en/schools/middle-school/9182,40.799376,-73.965308,0.0,0.0,0.0,69.0,12.0,0.0,74.0,21.0,0.0,74.0,28.0,0.0,71.0,24.0,0.0,64.0,16.0,0.0
03M859,3.0,Special Music School,212-501-3318,"129 West  67 Street, New York, NY 10023",10023.0,Manhattan,https://www.myschools.nyc/en/schools/middle-school/9191,40.774919,-73.982745,12.0,12.0,0.0,14.0,0.0,0.0,16.0,10.0,7.0,14.0,8.0,0.0,18.0,0.0,0.0,12.0,7.0,0.0
03M860,3.0,Frederick Douglass Academy II Secondary School,212-865-9260,"215 West 114 Street, New York, NY 10026",10026.0,Manhattan,https://www.myschools.nyc/en/schools/middle-school/9194,40.802207,-73.954142,0.0,0.0,0.0,31.0,0.0,0.0,9.0,0.0,0.0,24.0,0.0,0.0,21.0,0.0,0.0,23.0,0.0,0.0
03M862,3.0,Mott Hall II,212-678-2960,"234 West 109 Street, New York, NY 10025",10025.0,Manhattan,https://www.myschools.nyc/en/schools/middle-school/9195,40.802917,-73.965613,85.0,85.0,15.0,110.0,57.0,10.0,122.0,64.0,12.0,144.0,60.0,13.0,138.0,49.0,0.0,146.0,89.0,7.0
04M007,4.0,P.S. 007 Samuel Stern,212-860-5827,"160 East 120 Street, New York, NY 10035",10035.0,Manhattan,https://www.myschools.nyc/en/schools/middle-school/9237,40.801007,-73.939349,0.0,0.0,0.0,43.0,0.0,0.0,51.0,0.0,0.0,68.0,0.0,0.0,69.0,6.0,0.0,54.0,9.0,0.0
04M012,4.0,Tag Young Scholars,212-860-6003,"240 East 109 Street, New York, NY 10029",10029.0,Manhattan,https://www.myschools.nyc/en/schools/middle-school/9241,40.79307,-73.942303,47.0,47.0,27.0,59.0,55.0,38.0,56.0,54.0,27.0,85.0,81.0,49.0,77.0,71.0,32.0,57.0,53.0,26.0
04M057,4.0,James Weldon Johnson,212-876-5522,"176 East 115 Street, New York, NY 10029",10029.0,Manhattan,https://www.myschools.nyc/en/schools/middle-school/9249,40.797577,-73.94128,26.0,26.0,0.0,99.0,24.0,0.0,99.0,20.0,0.0,99.0,32.0,0.0,86.0,28.0,0.0,82.0,0.0,0.0
04M072,4.0,The Lexington Academy,212-860-5831,"131 East 104 Street, New York, NY 10029",10029.0,Manhattan,https://www.myschools.nyc/en/schools/middle-school/9253,40.791179,-73.947776,0.0,0.0,0.0,84.0,15.0,0.0,83.0,11.0,0.0,85.0,12.0,0.0,58.0,9.0,0.0,66.0,7.0,0.0
04M096,4.0,P.S. 096 Joseph Lanzetta,212-860-5851,"216 East 120 Street, New York, NY 10035",10035.0,Manhattan,https://www.myschools.nyc/en/schools/middle-school/9260,40.800256,-73.937558,15.0,15.0,0.0,78.0,12.0,0.0,65.0,0.0,0.0,57.0,0.0,0.0,48.0,0.0,0.0,53.0,0.0,0.0
04M108,4.0,P.S. 108 Assemblyman Angelo Del Toro Educational Complex,212-860-5803,"1615 Madison Avenue, New York, NY 10029",10029.0,Manhattan,https://www.myschools.nyc/en/schools/middle-school/9271,40.795146,-73.948368,11.0,11.0,0.0,88.0,6.0,0.0,91.0,9.0,0.0,64.0,7.0,0.0,64.0,0.0,0.0,62.0,10.0,0.0
04M171,4.0,P.S. 171 Patrick Henry,212-860-5801,"19 East 103 Street, New York, NY 10029",10029.0,Manhattan,https://www.myschools.nyc/en/schools/middle-school/9281,40.792122,-73.951961,43.0,43.0,0.0,96.0,41.0,0.0,92.0,43.0,0.0,94.0,37.0,0.0,90.0,38.0,0.0,82.0,29.0,0.0
04M206,4.0,P.S. 206 Jose Celso Barbosa,212-860-5809,"508 East 120 Street, New York, NY 10035",10035.0,Manhattan,https://www.myschools.nyc/en/schools/middle-school/9288,40.797467,-73.930868,19.0,19.0,0.0,67.0,18.0,0.0,47.0,17.0,0.0,75.0,11.0,0.0,78.0,16.0,0.0,71.0,13.0,0.0
04M224,4.0,M.S. 224 Manhattan East School for Arts & Academics,212-860-6047,"410 East 100 Street, New York, NY 10029",10029.0,Manhattan,https://www.myschools.nyc/en/schools/middle-school/9289,40.785671,-73.942548,25.0,25.0,0.0,44.0,20.0,0.0,55.0,14.0,0.0,64.0,24.0,0.0,65.0,14.0,0.0,61.0,20.0,0.0
04M372,4.0,Esperanza Preparatory Academy,212-722-6507,"240 East 109 Street, New York, NY 10029",10029.0,Manhattan,https://www.myschools.nyc/en/schools/middle-school/9291,40.79307,-73.942303,10.0,10.0,0.0,86.0,0.0,0.0,71.0,0.0,0.0,78.0,7.0,0.0,78.0,6.0,0.0,71.0,0.0,0.0
04M377,4.0,Renaissance School of the Arts,212-534-6072,"319 East 117 Street, New York, NY 10035",10035.0,Manhattan,https://www.myschools.nyc/en/schools/middle-school/9295,40.797302,-73.936365,12.0,12.0,0.0,53.0,24.0,0.0,53.0,6.0,0.0,39.0,0.0,0.0,57.0,0.0,0.0,76.0,23.0,0.0
04M610,4.0,Young Women's Leadership School,212-289-7593,"105 East 106Th Street, New York, NY 10029",10029.0,Manhattan,https://www.myschools.nyc/en/schools/middle-school/9301,40.792741,-73.947428,0.0,0.0,0.0,55.0,6.0,0.0,50.0,8.0,0.0,55.0,0.0,0.0,56.0,0.0,0.0,49.0,0.0,0.0
04M825,4.0,Isaac Newton Middle School for Math & Science,212-860-6006,"260 Pleasant Avenue, New York, NY 10029",10029.0,Manhattan,https://www.myschools.nyc/en/schools/middle-school/9304,40.793856,-73.934028,6.0,6.0,0.0,82.0,9.0,0.0,55.0,20.0,0.0,60.0,7.0,0.0,75.0,10.0,0.0,97.0,21.0,0.0
04M964,4.0,Central Park East II,212-860-5992,"433 East 100 Street, New York, NY 10029",10029.0,Manhattan,https://www.myschools.nyc/en/schools/middle-school/9305,40.785258,-73.941526,0.0,0.0,0.0,,0.0,0.0,30.0,6.0,0.0,49.0,0.0,0.0,53.0,8.0,0.0,54.0,0.0,0.0
05M046,5.0,P.S. 046 Arthur Tappan,212-360-1519,"2987 Frederick Douglass Boulevard, New York, NY 10039",,,https://www.myschools.nyc/en/schools/middle-school/9354,,,10.0,10.0,0.0,62.0,7.0,0.0,67.0,8.0,0.0,66.0,0.0,0.0,59.0,0.0,0.0,67.0,0.0,0.0
05M123,5.0,P.S. 123 Mahalia Jackson,212-342-6200,"301 West 140 Street, New York, NY 10030",10030.0,Manhattan,https://www.myschools.nyc/en/schools/middle-school/9357,40.819767,-73.944433,0.0,0.0,0.0,57.0,0.0,0.0,54.0,0.0,0.0,60.0,6.0,0.0,65.0,6.0,0.0,46.0,11.0,0.0
05M148,5.0,Eagle Academy for Young Men of Harlem,212-694-6051,"6 Edgecombe Avenue, New York, NY 10030",10030.0,Manhattan,https://www.myschools.nyc/en/schools/middle-school/9372,40.817372,-73.947712,0.0,0.0,0.0,57.0,6.0,0.0,57.0,10.0,0.0,64.0,14.0,0.0,34.0,0.0,0.0,34.0,6.0,0.0
05M161,5.0,P.S. 161 Pedro Albizu Campos,212-690-5945,"499 West 133 Street, New York, NY 10027",10027.0,Manhattan,https://www.myschools.nyc/en/schools/middle-school/9377,40.81755,-73.953041,22.0,22.0,0.0,116.0,11.0,0.0,122.0,16.0,0.0,131.0,21.0,0.0,122.0,17.0,0.0,110.0,12.0,0.0
05M286,5.0,Urban Assembly Academy for Future Leaders,212-543-4960,"509 West 129 Street, New York, NY 10027",10027.0,Manhattan,https://www.myschools.nyc/en/schools/middle-school/9390,40.815256,-73.955325,6.0,6.0,0.0,93.0,26.0,0.0,82.0,15.0,0.0,58.0,0.0,0.0,44.0,0.0,0.0,29.0,0.0,0.0
05M362,5.0,Columbia Secondary School,212-666-1278,"425 West 123 Street, New York, NY 10027",10027.0,Manhattan,https://www.myschools.nyc/en/schools/middle-school/9394,40.810431,-73.955809,38.0,38.0,19.0,97.0,45.0,20.0,97.0,42.0,23.0,101.0,42.0,15.0,98.0,39.0,18.0,99.0,20.0,15.0
05M499,5.0,Frederick Douglass Academy,212-491-4107,"2581 7Th Avenue, New York, NY 10039",10039.0,Manhattan,https://www.myschools.nyc/en/schools/middle-school/9397,40.824319,-73.93712,11.0,11.0,0.0,84.0,8.0,0.0,87.0,13.0,0.0,98.0,12.0,0.0,81.0,0.0,0.0,88.0,0.0,0.0
05M514,5.0,New Design Middle School,212-281-6339,"625 West 133 Street, New York, NY 10027",10027.0,Manhattan,https://www.myschools.nyc/en/schools/middle-school/9398,40.819481,-73.95761,10.0,10.0,0.0,67.0,6.0,0.0,66.0,11.0,0.0,71.0,14.0,0.0,40.0,8.0,0.0,50.0,10.0,0.0
05M517,5.0,Teachers College Community School,212-316-8080,"168 Morningside Avenue, New York, NY 10027",10027.0,Manhattan,https://www.myschools.nyc/en/schools/middle-school/9399,40.81242,-73.953315,,,,,,,,,,,,,25.0,8.0,0.0,51.0,19.0,0.0
05M670,5.0,Thurgood Marshall Academy for Learning and Social Change,212-283-8055,"200-214 West 135Th Street, New York, NY 10030",10030.0,Manhattan,https://www.myschools.nyc/en/schools/middle-school/9403,40.815449,-73.944061,10.0,10.0,0.0,56.0,13.0,0.0,58.0,10.0,0.0,58.0,9.0,0.0,56.0,0.0,0.0,56.0,7.0,0.0
06M018,6.0,P.S. 018 Park Terrace,917-521-2220,"4124 9 Avenue, New York, NY 10034",10034.0,Manhattan,https://www.myschools.nyc/en/schools/middle-school/9456,40.871278,-73.911516,7.0,7.0,0.0,43.0,0.0,0.0,52.0,6.0,0.0,39.0,10.0,0.0,46.0,0.0,0.0,53.0,12.0,0.0
06M052,6.0,Harold O. Levy School,212-567-9162,"650 Academy Street, New York, NY 10034",10034.0,Manhattan,https://www.myschools.nyc/en/schools/middle-school/9464,40.866053,-73.924835,14.0,14.0,0.0,147.0,10.0,0.0,121.0,13.0,0.0,86.0,0.0,0.0,94.0,10.0,0.0,99.0,9.0,0.0
06M143,6.0,J.H.S. 143 Eleanor Roosevelt,212-927-7739,"511 West 182Nd Street, New York, NY 10033",10033.0,Manhattan,https://www.myschools.nyc/en/schools/middle-school/9475,40.848908,-73.930948,8.0,8.0,0.0,128.0,0.0,0.0,109.0,17.0,0.0,105.0,11.0,0.0,77.0,14.0,0.0,90.0,14.0,0.0
06M187,6.0,P.S./I.S. 187 Hudson Cliffs,212-927-8218,"349 Cabrini Boulevard, New York, NY 10040",10040.0,Manhattan,https://www.myschools.nyc/en/schools/middle-school/9487,40.856693,-73.937093,38.0,38.0,7.0,92.0,33.0,0.0,103.0,36.0,0.0,95.0,33.0,0.0,93.0,45.0,8.0,89.0,32.0,6.0
06M209,6.0,Hamilton Grange Middle School,2127759600,"500 West 138 Street, New York, NY 10031",10031.0,Manhattan,https://www.myschools.nyc/en/schools/middle-school/9495,40.820953,-73.951145,0.0,0.0,0.0,74.0,13.0,0.0,84.0,18.0,0.0,92.0,24.0,0.0,87.0,18.0,0.0,112.0,25.0,0.0
06M210,6.0,P.S./I.S. 210 - Twenty-first Century Academy for Community Leadership,212-283-0012,"501-503 West 152 Street, New York, NY 10031",10031.0,Manhattan,https://www.myschools.nyc/en/schools/middle-school/9496,40.829815,-73.94475,8.0,8.0,0.0,53.0,12.0,0.0,47.0,8.0,0.0,56.0,9.0,0.0,48.0,0.0,0.0,59.0,10.0,0.0
06M223,6.0,The Mott Hall School,212-281-5028,"71-111 Convent Ave, New York, NY 10027",10027.0,Manhattan,https://www.myschools.nyc/en/schools/middle-school/9500,40.815458,-73.952908,75.0,75.0,0.0,82.0,73.0,0.0,87.0,81.0,0.0,105.0,97.0,0.0,95.0,87.0,0.0,92.0,77.0,0.0
