district,schooldbn,name,neighborhood,address,coursepassrate,elaprof,mathprof,totalstudents,surveysafety,ellprograms,languageclasses,acceleratedclasses,electiveclasses,activities,accessibility,year
6.0,06M311,Amistad Dual Language School,Inwood,"4862 Broadway, Manhattan NY 10034",82.0,38.0,16.0,134.0,87.0,"English as a New Language, Dual Language: Spanish",Spanish,,"Art Portfolio, Chorus, Dance, Theatre","Field Day ; Ice Skating Trip ; LANG Program ; Lang Youth Medical Program ; NYC ROW ; Prep for Prep ; Senior Trip to Washington, DC ; Specialized High School Admission Test Prep Program",Accessible,2018
6.0,06M319,Maria Teresa Mirabal (M.S. 319),Washington Heights,"21 Jumel Place, Manhattan NY 10032",90.0,24.0,14.0,471.0,96.0,"English as a New Language, Dual Language: Spanish, Transitional Bilingual Education: Spanish",Spanish,,"Architecture, Art, Basketball, Calligraphy, Chorus, Computer Coding, Crafts, Drama, Fitness, Flag Football, Home Language Arts, Newspaper Club, Oratory, Peer Mediation, Piano, Regents Math, Regents Science, Regents Spanish, Soccer, Spanish, Technology, Track, Yearbook ",Computer Coding After-School Program ; LEGO Robotics Engineering Club ; Saturday Academy for Academic Support with one-on-one tutoring,Accessible,2018
6.0,06M322,The Renaissance Leadership Academy (M.S. 322),Washington Heights,"4600 Broadway, Manhattan NY 10040",93.0,15.0,17.0,321.0,81.0,"English as a New Language, Dual Language: Spanish, Transitional Bilingual Education: Spanish","Italian, Spanish",Algebra I,"Weekly Club Period Offerings: Art Club, Basketball, Cooking, Soccer, Sports, Strategic Games, Yoga",Accelerated Honors Program ; Global Partners Junior Program ; Global Scholars ; iLearn 360 ; MSQI Independent Reading ; Newspaper Club (English and Spanish) ; Robotics ; Theatre Arts ; Thurgood Marshall Jr. Mock Trial,Accessible,2018
6.0,06M324,Patria Mirabal Middle School (M.S. 324),Washington Heights,"21 Jumel Place, Manhattan NY 10032",94.0,20.0,28.0,423.0,95.0,"English as a New Language, Transitional Bilingual Education: Spanish",,"Algebra I, Living Environment","Artist Space, BEAM Math and Science, Lang Science Program with Columbia Presbyterian Hospital, Summer Reading Program, Urban Arts Story Studio",Arts Portfolio ; Band ; Chess ; Debate Club ; Fresh Youth Initiatives (Community Service) ; Guitar Club ; Math and Reading Tutorials ; Math and Writing Lab ; Math Club ; Musical Theatre Club ; NASA Space Camp ; Read-a-thons ; Reading Buddies ; Recycle-a-Bicycle ; Respect for All Club ; Specialized High Schools Admissions Test Preparation,Accessible,2018
6.0,06M328,Community Math & Science Prep,Washington Heights,"401 West 164th Street, Manhattan NY 10032",83.0,7.0,2.0,246.0,80.0,"English as a New Language, Dual Language: Spanish, Transitional Bilingual Education: Spanish",Spanish,,"Advisories, Beacon Program, Cheerleading, Chess, College Access for All, Computer Coding Club, Fuel Up to Play 60, Parent and Student Healthy Eating Classes (Nutrition), Robotics, Student Government, Theater Arts, Track and Field, Visual Arts, Yearbook","Academic Field Trips ; Breakfast in the Classroom ; Cafeteria Committee ; College and Career Readiness Program at the Armory ; Global Friendship Through Space Education (students visit Turkey) ; Hydroponic Garden Club ; International Video Conferencing ; Mural Club ; Restorative Circles ; School Ambassador Program ; School-Wide Word of the Day Program ; Street Project, Inc. ; Student Tutors ; Sustainability Education Program ; Urban Adventures ; Wellness Council ; Winter & Spring Academy",Not Accessible,2018
6.0,06M346,Community Health Academy of The Heights,Washington Heights S.,"504 West 158th Street, Manhattan NY 10032",85.0,25.0,16.0,278.0,90.0,English as a New Language,,,,Brainiacs ; CHAMPS Sports including Basketball and Track ; Community League of the Heights (CLOTH) After-School Tutoring Program ; Computer Squad ; Dance Classes ; Health Assembly Guest Speaker Series ; Health Symposium ; Hospital Trips ; School Magazine ; Service Learning ; Student Government ; Yearbook,Accessible,2018
6.0,06M348,Washington Heights Expeditionary Learning School,Washington Heights N.,"511 West 182nd Street, Manhattan NY 10033",91.0,32.0,25.0,259.0,88.0,"English as a New Language, Dual Language: Spanish",,,,Art ; Chess ; Computers ; Crew Advisory (leadership development and community building) ; Drama ; Field Work and Learning Expeditions ; Four-Day Outward Bound Wilderness Course ; Homework Help ; Music ; National Junior Honor Society ; Student Government ; Yearbook,Accessible,2018
6.0,06M349,Harbor Heights Middle School,Washington Heights,"306 Fort Washington Avenue, Manhattan NY 10033",97.0,4.0,7.0,155.0,91.0,"English as a New Language, Transitional Bilingual Education: Spanish",Spanish,,"Chess, Chorus, Computer Animation, Dance, Forensics, Guitar, Photography, Robotics and 3-D Printing, Theater, Visual Arts","Extended-Day School's Out New York City (SONYC) Program, Monday-Friday from 3-6pm, Includes: Academic Tutoring ; Arts ; Athletics ; Chess ; Conflict Resolution and Peer Mediation ; Dance ; English as a New Language ; High School Preparation ; Homework Help ; Photography ; Robotics ; Student Leadership ; Theater ; Yearbook",Accessible,2018
6.0,06M366,Washington Heights Academy,Inwood,"202 Sherman Avenue, Manhattan NY 10034",98.0,39.0,48.0,164.0,97.0,English as a New Language,,Algebra I,"High School Admissions Preparation Classes, Music, Service Learning Program, Student Leadership Advisory, Technology, Visual Art",After-School Enrichment Program ; Children’s Arts and Science Workshops ; Inwood Community Services Out-of-School-Time Program ; Responsive Classroom/Developmental Designs ; School Success Initiative (Americorps/New York Cares) ; Student Government ; Yeshiva University Project START ; Young People’s Chorus of Washington Heights,Accessible,2018
6.0,06M528,Bea Fuller Rodgers School (I.S. 528),Washington Heights,"180 Wadsworth Avenue, Manhattan NY 10033",90.0,21.0,10.0,199.0,82.0,English as a New Language,Spanish,"Algebra I, Living Environment",,Alvin Ailey Dance Program ; Art Integration ; Boys Fitness ; Chess Club ; Chorus ; Collaborations with Asphalt Green ; College Club ; Comic Book ; Community Service ; ELL Academic Enrichment ; Fusion Dance Company ; Homework Help ; Iconnect Mentoring Program ; Knitting ; Math and ELA Academic Enrichment ; Newspaper ; Police Athletic League ; Science Club ; Story Studio ; Student Council ; Teachers College Reading and Writing Project ; Theater ; Urban Arts Partnership ; Yearbook,Accessible,2018
7.0,07X005,Port Morris (P.S./M.S. 5),Melrose,"564 Jackson Avenue, Bronx NY 10455",88.0,14.0,8.0,248.0,78.0,"English as a New Language, Transitional Bilingual Education: Spanish",,,Test Preparation,Academic After-School Programs ; Advisory ; Arts and Crafts ; ASPIRA ; Ballroom Dancing ; Chess ; Chorus ; Community Outreach ; Computer Literacy ; Dance ; Debate ; Doing Art Together ; Drama ; Fashion Design ; High School Orientation ; Internships ; Leadership/Government ; Mentoring ; Public Speaking ; Technology ; Visual and Graphic Arts,Not Accessible,2018
7.0,07X029,The Melrose School (P.S./M.S. 29),Melrose,"758 Courtlandt Avenue, Bronx NY 10451",93.0,12.0,9.0,265.0,88.0,"English as a New Language, Transitional Bilingual Education: Spanish",,"Algebra I, Living Environment","Advisory, Dance, Music, STEM, Visual Arts","Academic Enrichment & Arts After-School Programs ; Chess ; College Tours ; Math Team ; Musical Theater ; Positive Behavior Intervention and Supports (PBIS) Activities and Trips (video game tournaments and obstacle course trip) ; Specialized High School Prep ; Student Council Partnerships with: The Bronx Arts Ensemble, The Park Avenue Armory, Urban Advantage",Not Accessible,2018
7.0,07X031,The William Lloyd Garrison (P.S./M.S. 31),Concourse Village,"250 East 156th Street, Bronx NY 10451",73.0,13.0,4.0,245.0,78.0,English as a New Language,Spanish,"Algebra I, US History",,After-School ; Art ; Ballroom Dancing ; Band ; Chess ; Chorus ; Drama ; Music ; Peer Conflict Resolution ; Peer Mentors ; Positive Behavior Intervention and Supports Program (PBIS) ; STEM Project Participants ; Supportive Social Group/Individual School Counseling ; Urban Advantage Middle School Science Initiative Partnership ; Yearbook,Accessible,2018
7.0,07X151,Lou Gehrig Academy (J.H.S. 151),Concourse Village,"250 East 156th Street, Bronx NY 10451",89.0,11.0,3.0,245.0,85.0,"English as a New Language, Transitional Bilingual Education: Spanish",Spanish,,"Eighth Grade Science Assessments, Science Preparation Classes in Seventh Grade for NYS","After-School Sports and Arts in Schools Program ; Graduation/Yearbook Committee ; Happy Helpers Program ; History Through Art ; Lincoln Center AIM ; Major Trips (Sixth Grade-Circle Line, Seventh Grade-Liberty Science and Lake Compounce, Eighth Grade-Washington, DC) ; Music Program ; Project BOOST ; Road Runners-Mighty Milers ; School Wellness Program ; Sports ; Student Council ; Teen Thursdays ; Young Gifted Gentlemen/Ladies Program",Accessible,2018
20.0,20K201,Dyker Heights (J.H.S. 201),Dyker Heights,"8010 12th Avenue, Brooklyn NY 11228",98.0,63.0,66.0,1522.0,87.0,English as a New Language,"Italian, Spanish","Algebra I, Earth Science, Italian, Living Environment, Spanish",,Art Club ; Band ; Book Club ; Chess Club ; Chorus ; Drama ; Eureka Competition ; Grade Trips and Family Nights ; Guitar Club ; Keyboard ; LEGO Robotics ; Regents Test Prep ; Marching Band ; NYS ELA and Math Test Prep ; Partnerships with FIAO ; Photography Club ; Saturday ELL Enrichment ; Sports Club,Accessible,2018
7.0,07X221,South Bronx Preparatory: A College Board School,Mott Haven-Port Morris,"360 East 145th Street, Bronx NY 10454",90.0,22.0,16.0,281.0,89.0,English as a New Language,,,,"Chess Club ; Drama ; GEAR UP ; Lincoln Center Education ; Middle Grades Initiative (MGI) ; Middle School Arts Matters ; Music ; PENCIL Partnership ; SONYC-Bronx Works (an after-school program that runs from Monday through Friday 3pm-5pm and includes academic support, athletics, and clubs) ; Theater Club",Not Accessible,2018
7.0,07X223,The Laboratory School of Finance and Technology: X223,Mott Haven-Port Morris,"360 East 145th Street, Bronx NY 10454",95.0,43.0,40.0,302.0,91.0,"English as a New Language, Dual Language: Spanish",,Algebra I,"Español Academico, JA Personal Finance Courses",Broadway Junior ; Cheerleading ; Comic Book Club ; Computer Coding Club ; Computer Game Club ; Cooking Club ; Latin/Urban Dance ; MOUSE Squad ; Math Team ; Movie Critics Club ; School Store ; Steel Pan Band ; Vacation Academy,Not Accessible,2018
7.0,07X224,Science School for Exploration and Discovery (M.S. 224),Mott Haven,"345 Brook Avenue, Bronx NY 10454",89.0,12.0,3.0,389.0,88.0,"English as a New Language, Transitional Bilingual Education: Spanish",,,"Art, Dance, Music, Technology ",21st Century After-School Program ; Academic Intervention Services (AIS) ; ASPIRA ; Boys and Girls Mentoring with Weil Law Firm NYC ; Citizen Science ; Cooking ; Dance ; Guppy Tank ; Music ; Science Bowl ; Thurgood Marshall Mock Trial ; Visual Arts,Not Accessible,2018
7.0,07X296,South Bronx Academy for Applied Media,Melrose,"778 Forest Avenue, Bronx NY 10456",83.0,11.0,6.0,296.0,69.0,English as a New Language,,,"Band, Chess, Computer Building, Crochet, Debate, Drumline, Fitness, Photography, Piano, Radio, Spanish, Theater, Video Production, Young Artist Development Program (YADP)",Advisory ; Boxing ; Broadway Junior ; Hip Hop Dance ; Newspaper ; Peer Mediation ; Salsa ; Scholar Government ; Technology ; Visual Arts ; Yearbook,Accessible,2018
27.0,27Q183,Dr. Richard R. Green School (P.S./M.S. 183),Hammels-Arverne,"2-45 Beach 79th Street, Queens NY 11693",45.0,16.0,10.0,170.0,84.0,English as a New Language,Spanish,,,Boys Scouts ; Enact ; Extended Learning Time ; Girls Scouts ; Girls and Boys Basketball program ; Monthly Themed Assemblies ; Morning Soccer Program ; SONYC After-School Program ; Step Team ; Thrive Arts Program,Not Accessible,2018
7.0,07X298,The Academy of Public Relations,Melrose,"778 Forest Avenue, Bronx NY 10456",99.0,13.0,9.0,256.0,91.0,"English as a New Language, Transitional Bilingual Education: Spanish",,Algebra I,"Architectural Design, Drama, Graphic Design, Public Relations, Student Government Association, Visual Arts",Advisory Sessions ; ASPIRA ; Boot Camp Academy ; Bridge Program ; Chorus ; Coed Intramurals ; Debate ; Documentary Filmmaking ; Instrumental Music ; LEGO Robotics ; Latin Dance ; Latin Percussion Ensemble ; Magazine Publishing ; Morning Press Brief ; Mural Painting ; Peer Mediation ; Podcasting ; Public Relations Journal ; SHSAT Prep ; Spoken Word ; Student Government ; Trips ; Yearbook,Accessible,2018
7.0,07X343,Academy of Applied Mathematics & Technology,Mott Haven,"345 Brook Avenue, Bronx NY 10454",99.0,36.0,38.0,302.0,95.0,English as a New Language,,"Algebra I, Living Environment","Dance, Music, Specialized HS Prep (Seventh Grade), Targeted Instruction (MSQI Word Generation), Visual Art",American Reading Company's 100 Book Challenge ; Dance ; Debate Team ; Games ; Math/ELA Competitions ; Music ; Robotics/Coding ; Spelling Bee ; Sports ; Technology ; Visual Art ; Yearbook Committee,Not Accessible,2018
7.0,07X500,Hostos-Lincoln Academy of Science,Melrose S.-Mott Haven N.,"600 Saint Ann's Avenue, Bronx NY 10455",94.0,15.0,7.0,175.0,83.0,English as a New Language,Spanish,"Algebra I, Living Environment, Spanish, US History","Art, Creative Writing, Dramatic Arts",Art ; Athletics ; Drama ; Hostos Community College Partnership ; Liberty Partnership ; Literary Magazine ; Math Team ; Robotics,Accessible,2018
7.0,07X551,The Urban Assembly Bronx Academy of Letters,Mott Haven-Port Morris,"339 Morris Avenue, Bronx NY 10451",87.0,11.0,5.0,251.0,80.0,English as a New Language,,Living Environment,"Creative Writing, Dance, Drama, Health, Honors Courses, Musical Theater, News Literacy, Physical Education, Service Learning",Art ; Art Club ; Choir ; Comic Book Club ; Cooking ; Cultural Field Trips ; Dance ; Debate ; Feminist Club ; Film ; GSA (Gender & Sexuality Alliance) ; Gardening ; Homework Help ; Jiu Jitsu ; Literary Magazine ; Music ; Newspaper ; Overnight College Trips ; Peer Mediation ; Performing Arts ; Rock Climbing ; School Newspaper ; Step ; Student Government and more,Accessible,2018
7.0,07X584,I.S. 584,Melrose,"600 Saint Ann's Avenue, Bronx NY 10455",,,,365.0,,"English as a New Language, Transitional Bilingual Education: Spanish",Spanish,,"To be determined, based on student interest","To be determined, based on student interest",Accessible,2018
20.0,20K030,Mary White Ovington (P.S./I.S. 30),Bay Ridge,"7002 4th Avenue, Brooklyn NY 11209",95.0,51.0,40.0,378.0,79.0,"English as a New Language, Dual Language: Arabic, Transitional Bilingual Education: Chinese",Spanish,"Algebra I, Living Environment, Spanish, US History","Music and Band, Software Engineering Program (SEP): Three-Year program beginning in sixth grade, Theatre ",Academic/Cultural Trips ; Art ; Book Club ; Broadway Jr. Theatre ; Computers ; Dance Team ; ELA and Math Test Prep ; GEM (Girls Empowerment Movement) ; Girls Basketball League ; Gym at the Park ; Leader in Me ; Library Squad ; Lunchtime Library Access ; MSQI-ExTRA ; Music Engagement ; NJHS/ARISTA ; Peer Tutoring ; Portfolio Art ; Positive Behavior Interventions Services ; Reading Next ; Roadrunners ; Service-Oriented Activities ; Spanish Club ; Student Government ; Walking Club ; Yearbook,Accessible,2018
20.0,20K062,Ditmas Junior High School (J.H.S. 62),Kensington-Ocean Parkway,"700 Cortelyou Road, Brooklyn NY 11218",98.0,31.0,27.0,1191.0,86.0,English as a New Language,"French, Spanish","Algebra I, Living Environment","College Readiness/Enrichment Classes in Math and English, Ditmas News Network (student-written, -produced, -directed, -filmed, and -edited televised newscast), Foreign Language Proficiency Exams in French and Spanish, Just Words, Living Environment Regents and Algebra I Regents, Marquis Studio, Software Engineering Program, SpellRead Program, Wilson Program",ARCHON Service Society ; Cheerleading ; Crocheting ; Culinary Club ; Globaloria ; Immigrant Literacy Program ; Jewelry Making Club ; LEGO Robotics ; NJHS/ARISTA ; Project BOOST ; Science of Exercise Club ; SHSAT Prep ; Show Choir ; Student Success Academy ; Title III Before- and After-School Math/ELA ; Winter and Spring Concerts/Art Show,Not Accessible,2018
20.0,20K104,The Fort Hamilton School (P.S./I.S. 104),Bay Ridge,"9115 5th Avenue, Brooklyn NY 11209",96.0,56.0,45.0,499.0,84.0,English as a New Language,Spanish,"Algebra I, Living Environment",,Charitable Events: Math-A-Thon ; Chorus and Recorders ; Coat/Toy Drive ; Color Guard ; Holiday Basket Drive ; Jr. High Out of School Time (OST) Program Through NIA (M-F 2:30pm-5:30pm including trips during holidays) ; Junior Achievement ; March of Dimes ; Mouse Squad (Technology) ; Music ; Partnerships: Fort Hamilton Army Base ; Service Squads ; Student Council ; Visual Arts,Not Accessible,2018
20.0,20K163,P.S. 163 Bath Beach,Bath Beach,"109 Bay 14th Street, Brooklyn NY 11214",97.0,43.0,62.0,251.0,95.0,English as a New Language,Spanish,Algebra I,"Art, Dance (Ballet, African, Modern, Jazz, Student-Based Choreography), Gym/Health, Library, Music/Chorus",Ballroom Dancing “Dancing Classrooms” ; Band/Orchestra ; Cheerleading ; Culinary Arts ; Dance Festival ; Drama ; ELA and Math Test Prep After-School ; Field Day ; Glee/Music/Dance Club Sponsored by The Italian Federation ; Guitar Club ; Italian Federation Program for ELL Support ; Seasonal Concerts and Plays ; Senior Trips ; Specialized High School Admissions Test Preparatory Program,Accessible,2018
20.0,20K180,The SEEALL Academy,Borough Park,"5601 16th Avenue, Brooklyn NY 11204",98.0,52.0,58.0,517.0,90.0,English as a New Language,"French, Italian, Latin, Mandarin, Spanish","Algebra I, Earth Science","Art, Band/Strings, Cadets, Chess, Chorus, Community Service, Fractured Fairytales, Graphic Novels, Hands On Science, Photoshop, Pre-Law, Pre-Med, Newspaper, Robotics/STEAM, Set Design, Sports, Technology, Theatre, Visual Arts, Yearbook","After-School Programs Offered-Engaged Program, FIAO Program, English as a New Language Title III Program ; Archon Service Society ; ARISTA/NJHS ; Art Show ; Drama Club ; Executive Student Leadership Academy ; Gardening ; Graphic Arts ; Spectaculars/Dance ; Student Government ; Talent Show ; Test Prep ; Toys for Tots",Not Accessible,2018
20.0,20K187,The Christa McAuliffe School (I.S. 187),Dyker Heights,"1171 65th Street, Brooklyn NY 11219",100.0,95.0,97.0,892.0,95.0,English as a New Language,Spanish,Algebra I,,Biotechnology ; Business and Finance ; Cardiopulmonary Resuscitation (CPR) Training ; Chess ; Debate Team ; Drama ; Drama Club ; Fitness Training ; Girls Learn International Club ; Junior Achievement ; Kiwanis Builder's Club ; Law ; Overnight Trips ; Painting ; Political Science ; Relay for Life ; Sports Medicine ; Young Runners,Not Accessible,2018
20.0,20K192,The Magnet School for Math and Science Inquiry (P.S./I.S. 192),Borough Park,"4715 18th Avenue, Brooklyn NY 11204",95.0,41.0,45.0,188.0,94.0,English as a New Language,Spanish,,"Career Readiness, Global Studies",Ballroom Dance ; Band ; Book Club ; CASA ; Chess Class ; Chorus ; CookShop ; Dance ; Engineering Class ; Fitness Club ; Investigative Lab ; Mighty Milers ; NIA After-School Program ; Newspaper Club ; Parent Computer and Language Classes ; Saturday Academy ; Scrapbooking ; Student Council ; Studio in a School ; Urban Advantage ; Visual Arts Program ; WeatherBug,Not Accessible,2018
20.0,20K220,John J. Pershing (J.H.S. 220),Sunset Park,"4812 9th Avenue, Brooklyn NY 11220",98.0,29.0,46.0,1489.0,75.0,"English as a New Language, Transitional Bilingual Education: Chinese",Spanish,"Algebra I, Living Environment, Spanish","Morning and After-School Academic Success Programs for ELA, Math, Science, and Social Studies ",ARISTA Honor Society ; Arts Connection ; Broadway Jrs. ; Buddy Read Partnership with P.S. 160 ; Career Day ; Chess ; Chorus ; Dance ; Guitar ; Homework Help ; Mentorship Program with Maimonides Hospital ; Model UN ; Morgan Library ; Mouse Squad ; myON ; NY Historical Society ; Painting ; Pupil Path ; Read for The Record ; Respect For All ; Science Fair ; Story Studio/Urban Arts Partnership,Not Accessible,2018
21.0,21K690,Brooklyn Studio Secondary School,Bensonhurst West,"8310 21st Avenue, Brooklyn NY 11214",99.0,30.0,34.0,273.0,77.0,English as a New Language,"American Sign Language, Italian, Spanish","Algebra I, Earth Science, English, Italian, Spanish, US History","Dance, Instrumental Music, Math and Computer Technology, Theater Arts","Drama ; Literacy ; Math & Technology Talent Programs ; Student Government ; Technology-Based Supports (Dimension M, Achieve 3000, Study Island) ; Yearbook",Not Accessible,2018
20.0,20K223,Montauk (J.H.S. 223),Borough Park,"4200 16th Avenue, Brooklyn NY 11204",90.0,30.0,47.0,1004.0,82.0,English as a New Language,Spanish,"Algebra I, Earth Science, Living Environment",Advanced Art,AVID ; CHAMPS Sports ; Counseling in Schools ; Chess ; English as a New Language ; Math and ELA Test Prep ; New York Road Runner ; Parent English as a New Language & Computer Courses ; Positive Behavior Intervention and Supports ; Robotics ; Specialized High School Preparation ; Young Runner Partnership,Accessible,2018
20.0,20K227,Edward B. Shallow (J.H.S. 227),Bensonhurst,"6500 16th Avenue, Brooklyn NY 11204",96.0,35.0,43.0,1379.0,84.0,English as a New Language,Spanish,"Algebra I, Living Environment","Aerospace & Flight Simulation, Applied Math, Art, Chorus, Drama, Grammar, Graphic Arts, Music, New Courses for 2016-17-Computer Programming, STEM",Advanced Math ; Arts & Crafts ; Art Club ; Band ; Book Club ; Boosters Squad ; Chess ; Community Service ; Cooking ; Debate ; Drama ; English as a New Language Club ; Fantasy Fiction Book Club ; Guitar ; Homework Assistance ; Marketing/Finance ; Mouse Squad ; Music ; Newcomers Class ; Performing Arts ; Photography ; SHSAT Prep ; STEM Club ; Student Government ; Technology ; Visual Arts ; Yearbook,Accessible,2018
20.0,20K229,P.S./I.S. 229,Dyker Heights,"1400 Benson Avenue, Brooklyn NY 11228",99.0,55.0,65.0,344.0,82.0,English as a New Language,Spanish,"Algebra I, Living Environment","Cooking, Debate, English Honors, Jazz Band, Journalism, Junior Achievement Partnership, Latin Dance, Little Doctors Blood Drive, Fashion & Design, Mock Trial, National Junior Honor Society, Orchestra/Strings, Poetry, School Band, Science Competition, Soccer Clinic, Social Studies Honors, Stock Market Game, The Marvels of Math, Technology/Coding, Visual Arts, We Recycle Volunteers, Yearbook, Yoga","Chorus ; SONYC After-School NIA Program including: Robotics/STEM, Game Design, Environmental Studies, Disney Broadway Theatre @229K, Dance Team, Spirit Squad, Forensic Sciences ; Visual Artists",Accessible,2018
20.0,20K259,William McKinley (J.H.S. 259),Dyker Heights,"7305 Ft Hamilton Parkway, Brooklyn NY 11228",99.0,56.0,64.0,1758.0,78.0,English as a New Language,"Arabic, Spanish","Algebra I, Living Environment, US History","Independent Investigation Method Research Program for sixth, seventh, and eighth graders (a research-based, project-driven class); Virtual Enterprises Junior Ventures (create your own business and present a business plan) for seventh and eighth graders",Band ; Brooklyn Connections ; Cheerleading ; Chess ; Citizen STEM ; Cooking Club ; CUNY Creative Arts ; Dance ; Drama ; Fashion Club ; Girls Empowerment (GEM) ; Green Squad ; HW Help ; I Love Me ; International Club ; Keyboard ; Leadership ; Marching Band ; Mural ; Palette Arts ; Partners with: Tribute WTC Visitor Center ; Scenic Arts ; Starfish Club (anti-bullying) ; Strings ; Test Prep ; Theater ; Theater Development Fund ; Virtual Enterprises Junior Ventures ; Vocal ; WSJ Stock Market Game ; Yearbook,Accessible,2018
